Ewe/V	I/mA
1.949999928474426E-001	-3.293044632300735E-003
1.939999908208847E-001	-3.371763508766890E-003
1.929999887943268E-001	-3.450898453593254E-003
1.920000016689301E-001	-3.530368441715837E-003
1.909999996423721E-001	-3.610088722780347E-003
1.899999976158142E-001	-3.689972218126059E-003
1.889999955892563E-001	-3.769928356632590E-003
1.879999935626984E-001	-3.849864704534411E-003
1.869999915361404E-001	-3.929685801267624E-003
1.859999895095825E-001	-4.009295254945755E-003
1.850000023841858E-001	-4.088593181222677E-003
1.840000003576279E-001	-4.167480394244194E-003
1.829999983310699E-001	-4.245855379849672E-003
1.819999963045120E-001	-4.323615692555904E-003
1.809999942779541E-001	-4.400659352540970E-003
1.799999922513962E-001	-4.476883448660374E-003
1.789999902248383E-001	-4.552186932414770E-003
1.779999881982803E-001	-4.626468289643526E-003
1.770000010728836E-001	-4.699627403169870E-003
1.759999990463257E-001	-4.771566018462181E-003
1.749999970197678E-001	-4.842187743633986E-003
1.739999949932098E-001	-4.911398049443960E-003
1.729999929666519E-001	-4.979106597602367E-003
1.719999909400940E-001	-5.045223981142044E-003
1.709999889135361E-001	-5.109665915369987E-003
1.700000017881393E-001	-5.172350909560919E-003
1.689999997615814E-001	-5.233202595263720E-003
1.679999977350235E-001	-5.292147863656282E-003
1.669999957084656E-001	-5.349119193851948E-003
1.659999936819077E-001	-5.404052790254354E-003
1.649999916553497E-001	-5.456891376525164E-003
1.639999896287918E-001	-5.507581401616335E-003
1.629999876022339E-001	-5.556075833737850E-003
1.620000004768372E-001	-5.602333229035139E-003
1.609999984502792E-001	-5.646317265927792E-003
1.599999964237213E-001	-5.687997210770845E-003
1.589999943971634E-001	-5.727348383516073E-003
1.579999923706055E-001	-5.764352157711983E-003
1.569999903440475E-001	-5.798995029181242E-003
1.559999883174896E-001	-5.831269547343254E-003
1.550000011920929E-001	-5.861172918230295E-003
1.539999991655350E-001	-5.888709332793951E-003
1.529999971389771E-001	-5.913886707276106E-003
1.519999951124191E-001	-5.936718545854092E-003
1.509999930858612E-001	-5.957223940640688E-003
1.499999910593033E-001	-5.975425709038973E-003
1.489999890327454E-001	-5.991352256387472E-003
1.480000019073486E-001	-6.005034781992435E-003
1.469999998807907E-001	-6.016510073095560E-003
1.459999978542328E-001	-6.025817245244980E-003
1.449999958276749E-001	-6.033000070601702E-003
1.439999938011169E-001	-6.038104649633169E-003
1.429999917745590E-001	-6.041180342435837E-003
1.419999897480011E-001	-6.042279303073883E-003
1.409999877214432E-001	-6.041456013917923E-003
1.400000005960464E-001	-6.038765888661146E-003
1.389999985694885E-001	-6.034268531948328E-003
1.379999965429306E-001	-6.028022617101669E-003
1.369999945163727E-001	-6.020089611411095E-003
1.359999924898148E-001	-6.010530982166529E-003
1.349999904632568E-001	-5.999410524964333E-003
1.339999884366989E-001	-5.986791104078293E-003
1.330000013113022E-001	-5.972736049443483E-003
1.319999992847443E-001	-5.957309622317553E-003
1.309999972581863E-001	-5.940575618296862E-003
1.299999952316284E-001	-5.922596435993910E-003
1.289999932050705E-001	-5.903436336666346E-003
1.279999911785126E-001	-5.883156787604094E-003
1.269999891519547E-001	-5.861819256097078E-003
1.259999871253967E-001	-5.839484743773937E-003
1.249999925494194E-001	-5.816212855279446E-003
1.239999979734421E-001	-5.792062263935804E-003
1.229999959468842E-001	-5.767089314758778E-003
1.219999939203262E-001	-5.741350818425417E-003
1.209999918937683E-001	-5.714900791645050E-003
1.199999973177910E-001	-5.687792319804430E-003
1.189999952912331E-001	-5.660077091306448E-003
1.179999932646751E-001	-5.631804931908846E-003
1.169999912381172E-001	-5.603023804724216E-003
1.159999966621399E-001	-5.573780741542578E-003
1.149999946355820E-001	-5.544120445847511E-003
1.139999926090240E-001	-5.514086224138737E-003
1.129999905824661E-001	-5.483719985932112E-003
1.119999960064888E-001	-5.453061778098345E-003
1.109999939799309E-001	-5.422149319201708E-003
1.099999919533730E-001	-5.391019862145185E-003
1.089999973773956E-001	-5.359708331525326E-003
1.079999953508377E-001	-5.328247789293528E-003
1.069999933242798E-001	-5.296669900417328E-003
1.059999912977219E-001	-5.265005398541689E-003
1.049999967217445E-001	-5.233282689005136E-003
1.039999946951866E-001	-5.201529245823622E-003
1.029999926686287E-001	-5.169770214706659E-003
1.019999906420708E-001	-5.138030741363764E-003
1.009999960660934E-001	-5.106332711875439E-003
9.999999403953552E-002	-5.074698477983475E-003
9.899999201297760E-002	-5.043148063123226E-003
9.799999743700027E-002	-5.011701025068760E-003
9.699999541044235E-002	-4.980374127626419E-003
9.599999338388443E-002	-4.949184600263834E-003
9.499999135732651E-002	-4.918148275464773E-003
9.399999678134918E-002	-4.887279123067856E-003
9.299999475479126E-002	-4.856591112911701E-003
9.199999272823334E-002	-4.826095886528492E-003
9.099999070167542E-002	-4.795805085450411E-003
8.999999612569809E-002	-4.765729885548353E-003
8.899999409914017E-002	-4.735879600048065E-003
8.799999207258224E-002	-4.706263076514006E-003
8.699999749660492E-002	-4.676888231188059E-003
8.599999547004700E-002	-4.647762514650822E-003
8.499999344348907E-002	-4.618892446160316E-003
8.399999141693115E-002	-4.590284079313278E-003
8.299999684095383E-002	-4.561943002045155E-003
8.199999481439590E-002	-4.533872939646244E-003
8.099999278783798E-002	-4.506079014390707E-003
7.999999076128006E-002	-4.478564485907555E-003
7.899999618530273E-002	-4.451332148164511E-003
7.799999415874481E-002	-4.424384795129299E-003
7.699999213218689E-002	-4.397724289447069E-003
7.599999010562897E-002	-4.371352493762970E-003
7.499999552965164E-002	-4.345270805060864E-003
7.399999350309372E-002	-4.319479689002037E-003
7.299999147653580E-002	-4.293980076909065E-003
7.199999690055847E-002	-4.268772434443235E-003
7.099999487400055E-002	-4.243855830281973E-003
6.999999284744263E-002	-4.219230264425278E-003
6.899999082088470E-002	-4.194895736873150E-003
6.799999624490738E-002	-4.170850384980440E-003
6.699999421834946E-002	-4.147093743085861E-003
6.599999219179153E-002	-4.123623948544264E-003
6.499999016523361E-002	-4.100439604371786E-003
6.399999558925629E-002	-4.077539313584566E-003
6.299999356269836E-002	-4.054920747876167E-003
6.199999526143074E-002	-4.032582510262728E-003
6.099999323487282E-002	-4.010521341115236E-003
5.999999493360519E-002	-3.988735843449831E-003
5.899999290704727E-002	-3.967223688960075E-003
5.799999460577965E-002	-3.945981152355671E-003
5.699999257922173E-002	-3.925006836652756E-003
5.599999427795410E-002	-3.904297482222319E-003
5.499999225139618E-002	-3.883850295096636E-003
5.399999395012856E-002	-3.863662481307983E-003
5.299999192357063E-002	-3.843731014057994E-003
5.199999362230301E-002	-3.824053099378943E-003
5.099999159574509E-002	-3.804625710472465E-003
4.999999329447746E-002	-3.785445354878902E-003
4.899999499320984E-002	-3.766509471461177E-003
4.799999296665192E-002	-3.747814567759633E-003
4.699999466538429E-002	-3.729357849806547E-003
4.599999263882637E-002	-3.711135825142264E-003
4.499999433755875E-002	-3.693145466968417E-003
4.399999231100082E-002	-3.675383515655994E-003
4.299999400973320E-002	-3.657846944406629E-003
4.199999198317528E-002	-3.640532493591309E-003
4.099999368190765E-002	-3.623437136411667E-003
3.999999165534973E-002	-3.606557380408049E-003
3.899999335408211E-002	-3.589890198782086E-003
3.799999132752419E-002	-3.573432797566056E-003
3.699999302625656E-002	-3.557181451469660E-003
3.599999472498894E-002	-3.541133599355817E-003
3.499999269843102E-002	-3.525285981595516E-003
3.399999439716339E-002	-3.509635338559747E-003
3.299999237060547E-002	-3.494178876280785E-003
3.199999406933784E-002	-3.478913567960262E-003
3.099999390542507E-002	-3.463836386799812E-003
2.999999374151230E-002	-3.448944306001067E-003
2.899999357759953E-002	-3.434234531596303E-003
2.799999341368675E-002	-3.419704269617796E-003
2.699999324977398E-002	-3.405350493267179E-003
2.599999308586121E-002	-3.391170408576727E-003
2.499999292194843E-002	-3.377161454409361E-003
2.399999275803566E-002	-3.363320603966713E-003
2.299999259412289E-002	-3.349645296111703E-003
2.199999243021011E-002	-3.336132736876607E-003
2.099999226629734E-002	-3.322780365124345E-003
1.999999210238457E-002	-3.309585619717836E-003
1.899999193847179E-002	-3.296545939520001E-003
1.799999363720417E-002	-3.283658763393760E-003
1.699999347329140E-002	-3.270921763032675E-003
1.599999330937862E-002	-3.258332144469023E-003
1.499999314546585E-002	-3.245887812227011E-003
1.399999298155308E-002	-3.233586205169559E-003
1.299999281764030E-002	-3.221425227820873E-003
1.199999265372753E-002	-3.209402319043875E-003
1.099999248981476E-002	-3.197515383362770E-003
9.999992325901985E-003	-3.185762092471123E-003
8.999993093311787E-003	-3.174140118062496E-003
7.999992929399014E-003	-3.162647830322385E-003
6.999992765486240E-003	-3.151282668113709E-003
5.999992601573467E-003	-3.140042535960674E-003
4.999992437660694E-003	-3.128925571218133E-003
3.999992739409208E-003	-3.117929911240935E-003
2.999992575496435E-003	-3.107053227722645E-003
1.999992644414306E-003	-3.096293658018112E-003
9.999925969168544E-004	-3.085649572312832E-003
-7.450580596923828E-009	-3.075118875131011E-003
-1.000007498078048E-003	-3.064699703827500E-003
-2.000007545575500E-003	-3.054390428587794E-003
-3.000007476657629E-003	-3.044189186766744E-003
-4.000007640570402E-003	-3.034094115719199E-003
-5.000007338821888E-003	-3.024103818461299E-003
-6.000007502734661E-003	-3.014216432347894E-003
-7.000007666647434E-003	-3.004430094733834E-003
-8.000007830560207E-003	-2.994743641465902E-003
-9.000007994472981E-003	-2.985154977068305E-003
-1.000000722706318E-002	-2.975662937387824E-003
-1.100000739097595E-002	-2.966265892609954E-003
-1.200000755488873E-002	-2.956962445750833E-003
-1.300000771880150E-002	-2.947750966995955E-003
-1.400000788271427E-002	-2.938630059361458E-003
-1.500000804662704E-002	-2.929598093032837E-003
-1.600000821053982E-002	-2.920654136687517E-003
-1.700000837445259E-002	-2.911796327680349E-003
-1.800000853836536E-002	-2.903023734688759E-003
-1.900000683963299E-002	-2.894334960728884E-003
-2.000000700354576E-002	-2.885728608816862E-003
-2.100000716745853E-002	-2.877203281968832E-003
-2.200000733137131E-002	-2.868758048862219E-003
-2.300000749528408E-002	-2.860391512513161E-003
-2.400000765919685E-002	-2.852102508768439E-003
-2.500000782310963E-002	-2.843889873474836E-003
-2.600000798702240E-002	-2.835752442479134E-003
-2.700000815093517E-002	-2.827689284458756E-003
-2.800000831484795E-002	-2.819698769599199E-003
-2.900000847876072E-002	-2.811780432239175E-003
-3.000000864267349E-002	-2.803932642564178E-003
-3.100000880658627E-002	-2.796154702082276E-003
-3.200000897049904E-002	-2.788445679470897E-003
-3.300000727176666E-002	-2.780804410576820E-003
-3.400000929832459E-002	-2.773229731246829E-003
-3.500000759959221E-002	-2.765720710158348E-003
-3.600000962615013E-002	-2.758276648819447E-003
-3.700000792741776E-002	-2.750896615907550E-003
-3.800000622868538E-002	-2.743579447269440E-003
-3.900000825524330E-002	-2.736324444413185E-003
-4.000000655651093E-002	-2.729130443185568E-003
-4.100000858306885E-002	-2.721996977925301E-003
-4.200000688433647E-002	-2.714922651648521E-003
-4.300000891089439E-002	-2.707907231524587E-003
-4.400000721216202E-002	-2.700949553400278E-003
-4.500000923871994E-002	-2.694048918783665E-003
-4.600000753998756E-002	-2.687204629182816E-003
-4.700000956654549E-002	-2.680415520444512E-003
-4.800000786781311E-002	-2.673681126907468E-003
-4.900000989437103E-002	-2.667000750079751E-003
-5.000000819563866E-002	-2.660373691469431E-003
-5.100000649690628E-002	-2.653798786923289E-003
-5.200000852346420E-002	-2.647276036441326E-003
-5.300000682473183E-002	-2.640804043039680E-003
-5.400000885128975E-002	-2.634382573887706E-003
-5.500000715255737E-002	-2.628010697662830E-003
-5.600000917911530E-002	-2.621688181534410E-003
-5.700000748038292E-002	-2.615413861349225E-003
-5.800000950694084E-002	-2.609187271445990E-003
-5.900000780820847E-002	-2.603007946163416E-003
-6.000000983476639E-002	-2.596874954178929E-003
-6.100000813603401E-002	-2.590788062661886E-003
-6.200001016259193E-002	-2.584746573120356E-003
-6.300000846385956E-002	-2.578749787062407E-003
-6.400001049041748E-002	-2.572797238826752E-003
-6.500000506639481E-002	-2.566888229921460E-003
-6.600000709295273E-002	-2.561022294685245E-003
-6.700000911951065E-002	-2.555198967456818E-003
-6.800001114606857E-002	-2.549417549744248E-003
-6.900000572204590E-002	-2.543677808716893E-003
-7.000000774860382E-002	-2.537978813052177E-003
-7.100000977516174E-002	-2.532320562750101E-003
-7.200001180171967E-002	-2.526701893657446E-003
-7.300000637769699E-002	-2.521123038604856E-003
-7.400000840425491E-002	-2.515583066269755E-003
-7.500001043081284E-002	-2.510081510990858E-003
-7.600000500679016E-002	-2.504618139937520E-003
-7.700000703334808E-002	-2.499192254617810E-003
-7.800000905990601E-002	-2.493803622201085E-003
-7.900001108646393E-002	-2.488451777026057E-003
-8.000000566244125E-002	-2.483136020600796E-003
-8.100000768899918E-002	-2.477856120094657E-003
-8.200000971555710E-002	-2.472611842676997E-003
-8.300001174211502E-002	-2.467402489855886E-003
-8.400000631809235E-002	-2.462227595970035E-003
-8.500000834465027E-002	-2.457087161019444E-003
-8.600001037120819E-002	-2.451980486512184E-003
-8.700001239776611E-002	-2.446907106786966E-003
-8.800000697374344E-002	-2.441867021843791E-003
-8.900000900030136E-002	-2.436859300360084E-003
-9.000001102685928E-002	-2.431884175166488E-003
-9.100000560283661E-002	-2.426940947771072E-003
-9.200000762939453E-002	-2.422029152512550E-003
-9.300000965595245E-002	-2.417148789390922E-003
-9.400001168251038E-002	-2.412299159914255E-003
-9.500000625848770E-002	-2.407480264082551E-003
-9.600000828504562E-002	-2.402691403403878E-003
-9.700001031160355E-002	-2.397932577878237E-003
-9.800001233816147E-002	-2.393203089013696E-003
-9.900000691413879E-002	-2.388503169640899E-003
-1.000000089406967E-001	-2.383831888437271E-003
-1.010000109672546E-001	-2.379189478233457E-003
